2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: ======================================================================== | Riga: 0
2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: INIZIO CANCELLAZIONE TUTTI I LINK ESISTENTI | Riga: 0
2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: Data/Ora avvio: 28/07/2026 18:03:42 | Riga: 0
2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: Database corrente: C:\Casa\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSys_TB99_LINK\MDB\MSys_TB99_LINK.mdb | Riga: 0
2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: File di log: C:\Casa\LINGUAGGI\ACCESS\PROGETTI_MDB\MSYS_OGGETTI\MSYS\MDB\MSys_TB99_LINK\MDB\LOGS\DELETE_LINKS_20260728_180342.txt | Riga: 0
2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: ======================================================================== | Riga: 0
2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione:  | Riga: 0
2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: [VERIFICA_QUERY] Controllo esistenza query Msys_TB99_LINK_Qry99_01_SELECT_Archivio... | Riga: 0
2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: [VERIFICA_QUERY] Query trovata con successo. | Riga: 0
2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione:  | Riga: 0
2026-07-28 18:03:42 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: [UTENTE] Richiesta conferma cancellazione 1 link... | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: [UTENTE] Operazione CONFERMATA. | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione:  | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: [APERTURA_QUERY] Recordset aperto. Record trovati: 1 | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione:  | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: ======================================================================== | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: INIZIO CANCELLAZIONE LINK | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: ======================================================================== | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione:  | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: ---------------------------------------- | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: RECORD N. 1 - Tabella: 'MSys_DF01_}----------------------------------------------------@' | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: ---------------------------------------- | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: [CANCELLAZIONE] Link 'MSys_DF01_}----------------------------------------------------@' eliminato con SUCCESSO. | Riga: 0
2026-07-28 18:03:46 | Classe: My_Msys_TB12_FILES_CLASSE_clsLogger | Funzione: WriteLogMessage | Errore #: 0 | Descrizione: ---------------------------------------- | Riga: 0
